公車名稱,方向,車站名稱
1,回程,捷運台電大樓站
1,回程,羅斯福浦城街口
1,回程,羅斯福金門街口
1,回程,捷運古亭站(羅斯福)
1,回程,捷運古亭站(杭州)
1,回程,南福板溪(南昌公園)
1,回程,牯嶺街
1,回程,自來水西分處(牯嶺)
1,回程,牯嶺街小劇場
1,回程,建國中學(歷史博物館)
1,回程,植物園
1,回程,和平中華路口
1,回程,昆明街口
1,回程,捷運龍山寺站
1,回程,中國時報
1,回程,華江派出所
1,回程,大理高中
1,回程,人壽一村
1,回程,華江站
2,去程,富洲里
2,去程,台北海大
2,去程,浮線
2,去程,富洲里九段
2,去程,威靈廟
2,去程,下溪沙尾
2,去程,建安新村
2,去程,富安國小
2,去程,富洲里八段
2,去程,福安國中
2,去程,臨江園
2,去程,地藏禪寺
2,去程,下竹圍
2,去程,福安區民活動中心
2,去程,福安里
2,去程,普濟堂
2,去程,社子國小二
2,去程,社子國小
2,去程,永倫里(南)
2,去程,社子派出所
2,去程,社子市場二
2,去程,社子市場
2,去程,葫蘆寺(葫蘆里)
2,去程,葫蘆堵市場
2,去程,海光新村
2,去程,社子消防分隊
2,去程,污水處理廠
2,去程,老師里
2,去程,酒泉街
2,去程,民族重慶路口
2,去程,昌吉重慶路口
2,去程,捷運大橋頭站
2,去程,涼州重慶路口
2,去程,民生重慶路口
2,去程,朝陽公園(鈕釦街)
2,去程,圓環(南京)
2,去程,臺北車站(承德)
2,去程,臺北車站(鄭州)
2,去程,行政院
2,去程,臺大醫院
2,回程,捷運台大醫院站
2,回程,臺北車站(青島)
2,回程,行政院
2,回程,臺北車站(鄭州)
2,回程,後車站
2,回程,圓環(重慶)
2,回程,民生重慶路口
2,回程,涼州重慶路口
2,回程,捷運大橋頭站
2,回程,昌吉重慶路口
2,回程,民族重慶路口
2,回程,蘭州國中
2,回程,民族承德路口
2,回程,庫倫街
2,回程,大龍峒保安宮
2,回程,酒泉重慶路口
2,回程,酒泉街
2,回程,老師里
2,回程,污水處理廠
2,回程,社子消防分隊
2,回程,海光新村
2,回程,葫蘆堵市場
2,回程,葫蘆寺(葫蘆里)
2,回程,社子市場
2,回程,社園里
2,回程,社子派出所
2,回程,永倫里(南)
2,回程,社子國小
2,回程,永倫里(延平)
2,回程,洲美橋
2,回程,中窟
2,回程,福安里
2,回程,福安區民活動中心
2,回程,下竹圍
2,回程,地藏禪寺
2,回程,臨江園
2,回程,福安國中
2,回程,富洲里八段
2,回程,富安國小
2,回程,建安新村
2,回程,下溪沙尾
2,回程,威靈廟
2,回程,富洲里九段
2,回程,浮線
2,回程,台北海大
2,回程,富洲里
5,去程,中和保養廠
5,去程,家美工業區
5,去程,捷運中和站(中山路)
5,去程,一江新村
5,去程,中和農會(中和路)
5,去程,中和廟口
5,去程,中和派出所
5,去程,南山高中
5,去程,雙和里
5,去程,華泰新城(宜安路)
5,去程,宜安路
5,去程,安平路
5,去程,潭墘
5,去程,823紀念公園
5,去程,永安市場
5,去程,自強街口
5,去程,樂華夜市
5,去程,捷運頂溪站
5,去程,中正橋頭
5,去程,重慶南路三段(中正橋)
5,去程,福州街
5,去程,自來水西分處(牯嶺)
5,去程,南昌路
5,去程,南門
5,去程,一女中(公園)
5,去程,捷運台大醫院站
5,去程,臺北車站(青島)
5,去程,行政院
5,去程,中山市場
5,去程,南京林森路口
5,去程,南京吉林路口
5,去程,捷運松江南京站
5,去程,長春松江路口
5,去程,民生松江路口
5,去程,合江街口
5,去程,臺北大學(臺北校區)
5,去程,捷運中山國中站
5,去程,民權龍江路口
5,去程,民權建國路口
5,去程,民權松江路口
5,回程,捷運行天宮站(松江路)
5,回程,長春松江路口
5,回程,南京吉林路口
5,回程,南京林森路口
5,回程,中山市場
5,回程,行政院
5,回程,臺北車站(公園)
5,回程,捷運台大醫院站
5,回程,一女中(公園)
5,回程,市立大學附小
5,回程,南門
5,回程,寧波重慶路口
5,回程,重慶南路三段(中正橋)
5,回程,捷運頂溪站
5,回程,中興街口
5,回程,樂華夜市
5,回程,永和路口
5,回程,永安市場(永貞路)
5,回程,中安街
5,回程,安平派出所
5,回程,安平路
5,回程,宜安路
5,回程,華泰新城(宜安路)
5,回程,雙和里
5,回程,南山高中
5,回程,中和派出所
5,回程,中和廟口
5,回程,中和農會(中和路)
5,回程,一江新村
5,回程,捷運中和站(中山路)
5,回程,家美工業區
5,回程,中和保養廠
8,去程,捷運新店站(新店路)
8,去程,溪頭
8,去程,大坪頂
8,去程,頂城
8,去程,胡璉故居紀念館
8,去程,下城社區
8,去程,安華路口
8,去程,輕軌安康站
8,去程,及人中學
8,去程,十四份
8,去程,光華街口
8,去程,輕軌陽光運動公園站
8,去程,石頭厝
8,去程,安和路二段
8,去程,陽光運動公園(新店花市)
8,去程,永平里
8,去程,輕軌新和國小站(水工大樓)
8,去程,新和國小
8,去程,三介廟
8,去程,景新街
8,去程,欣欣向榮(景新街)
8,去程,景新街口
8,去程,捷運景安站
8,回程,中和教會
8,回程,景新街
8,回程,三介廟
8,回程,新和國小
8,回程,輕軌新和國小站(水工大樓)
8,回程,永平里
8,回程,陽光運動公園(新店花市)
8,回程,安和路二段
8,回程,石頭厝
8,回程,輕軌陽光運動公園站
8,回程,光華街口
8,回程,十四份
8,回程,及人中學
8,回程,輕軌安康站
8,回程,光華新村(安康路)
8,回程,安華路口
8,回程,下城社區
8,回程,胡璉故居紀念館
8,回程,頂城
8,回程,大坪頂
8,回程,溪頭
8,回程,碧潭橋頭
8,回程,檳榔路
8,回程,捷運新店區公所站(北新)
8,回程,中正路
8,回程,中興中正路口
8,回程,五峰國中
8,回程,中興路一段
8,回程,舊郵政館
8,回程,捷運新店站(新店路)
9,去程,社子國小
9,去程,永倫里(南)
9,去程,社子派出所
9,去程,社子市場二
9,去程,社子市場
9,去程,葫蘆寺(葫蘆里)
9,去程,葫蘆堵市場
9,去程,海光新村
9,去程,社子消防分隊
9,去程,污水處理廠
9,去程,老師里
9,去程,酒泉街
9,去程,民族重慶路口
9,去程,昌吉重慶路口
9,去程,捷運大橋頭站
9,去程,涼州重慶路口
9,去程,保安街口
9,去程,民生西路口(大稻埕碼頭)
9,去程,南京西路口(鈕釦街)
9,去程,南京西路口(塔城)
9,去程,聯合醫院中興院區(塔城)
9,去程,捷運北門站
9,去程,中華路北站
9,去程,捷運西門站
9,去程,小南門
9,去程,龍山國中
9,去程,昆明街口
9,去程,龍山寺(康定)
9,回程,祖師廟(康定)
9,回程,長沙街
9,回程,捷運西門站
9,回程,中華路北站
9,回程,捷運北門站
9,回程,南京西路口(塔城)
9,回程,南京西路口(鈕釦街)
9,回程,民生西路口(大稻埕碼頭)
9,回程,保安街口
9,回程,涼州重慶路口
9,回程,捷運大橋頭站
9,回程,昌吉重慶路口
9,回程,民族重慶路口
9,回程,蘭州國中
9,回程,民族承德路口
9,回程,庫倫街
9,回程,大龍峒保安宮
9,回程,酒泉重慶路口
9,回程,酒泉街
9,回程,老師里
9,回程,污水處理廠
9,回程,社子消防分隊
9,回程,海光新村
9,回程,葫蘆堵市場
9,回程,葫蘆寺(葫蘆里)
9,回程,社子市場
9,回程,社園里
9,回程,社子派出所
9,回程,永倫里(南)
9,回程,社子國小
12,去程,華中河濱公園
12,去程,果菜市場
12,去程,光仁國小
12,去程,青年路派出所
12,去程,青年路
12,去程,中正新城
12,去程,青年社區
12,去程,青年公園(青年)
12,去程,青年公園(國興)
12,去程,國興路口一
12,去程,國興路口
12,去程,中華南海路口
12,去程,南機場公寓
12,去程,廈安里
12,去程,大埔街
12,去程,聯合醫院和平院區
12,去程,捷運西門站
12,去程,中華路北站
12,去程,捷運北門站
12,去程,延平一站(長安)
12,去程,圓環(重慶)
12,去程,圓環(南京)
12,去程,捷運中山站(志仁高中)
12,去程,南京林森路口
12,去程,南京吉林路口
12,去程,捷運松江南京站
12,去程,長春國小
12,去程,臺北大學(臺北校區)
12,去程,長春市場
12,去程,慶城街口
12,去程,長庚醫院
12,去程,公教住宅
12,去程,介壽國中
12,去程,聯合二村
12,去程,民生社區活動中心
12,去程,廣合新村
12,去程,三民國小
12,去程,新益里
12,回程,民生國中
12,回程,新東街口
12,回程,民生社區活動中心
12,回程,聯合二村
12,回程,介壽國中
12,回程,公教住宅
12,回程,民生敦化路口
12,回程,興安華城
12,回程,長春市場
12,回程,臺北大學(臺北校區)
12,回程,長春國小
12,回程,松江長春路口
12,回程,南京吉林路口
12,回程,南京林森路口
12,回程,捷運中山站(志仁高中)
12,回程,後車站
12,回程,延平一站(長安)
12,回程,聯合醫院中興院區(塔城)
12,回程,捷運北門站
12,回程,中華路北站
12,回程,捷運西門站
12,回程,小南門
12,回程,聯合醫院和平院區
12,回程,大埔街
12,回程,廈安里
12,回程,南機場公寓
12,回程,中華南海路口
12,回程,國興路口
12,回程,古亭國中
12,回程,萬華醫院
12,回程,國興社區
12,回程,青年公園(國興)
12,回程,青年公園(青年)
12,回程,青年社區
12,回程,中正新城
12,回程,青年路
12,回程,青年路派出所
12,回程,光仁國小
12,回程,果菜市場
12,回程,華中河濱公園
14,去程,蘆洲站
14,去程,和平路口
14,去程,蘆洲監理站(中正路)
14,去程,蘆洲國小
14,去程,中原公寓
14,去程,空中大學(中正路)
14,去程,王爺廟口
14,去程,民族路口
14,去程,捷運蘆洲站
14,去程,捷運蘆洲站
14,去程,長榮路
14,去程,永平市場
14,去程,永樂街
14,去程,長安街
14,去程,成功國小
14,去程,永康公園
14,去程,長安街一
14,去程,忠義廟
14,去程,延平里
14,去程,九芎街
14,去程,九芎廟
14,去程,九芎街口
14,去程,永安里
14,去程,大同新村
14,去程,褒仔寮
14,去程,穀保家商
14,去程,仙公廟
14,去程,博愛新村
14,去程,三重商工(中正北路)
14,去程,忠孝三民街口
14,去程,東海中學
14,去程,三民街
14,去程,三重稅捐分處
14,去程,菜寮(重陽路)
14,去程,菜寮(重新路)
14,去程,捷運菜寮站
14,去程,中山藝術公園
14,去程,中正南路
14,去程,重安街口
14,去程,臺北車站(鄭州)
14,回程,行政院
14,回程,臺北車站(忠孝)
14,回程,重安街口
14,回程,中正南路
14,回程,中山藝術公園
14,回程,捷運菜寮站
14,回程,菜寮(重新路)
14,回程,菜寮(重陽路)
14,回程,三重稅捐分處
14,回程,三民街
14,回程,東海中學
14,回程,忠孝三民街口
14,回程,三重商工(中正北路)
14,回程,博愛新村
14,回程,仙公廟
14,回程,穀保家商
14,回程,褒仔寮
14,回程,大同新村
14,回程,永安里
14,回程,九芎街口
14,回程,九芎廟
14,回程,九芎街
14,回程,延平里
14,回程,忠義廟
14,回程,長安街一
14,回程,永康公園
14,回程,成功國小
14,回程,長安街
14,回程,永樂街
14,回程,永平市場
14,回程,長榮路
14,回程,捷運蘆洲站
14,回程,民族路口
14,回程,王爺廟口
14,回程,空中大學(中正路)
14,回程,中原公寓
14,回程,蘆洲國小
14,回程,蘆洲監理站
14,回程,和平路口
14,回程,蘆洲站
18,去程,華江站
18,去程,人壽一村
18,去程,大理高中
18,去程,華江派出所
18,去程,龍山國小
18,去程,萬華分局
18,去程,桂林路
18,去程,昆明活動中心
18,去程,內江街
18,去程,西門市場(漢中)
18,去程,寶慶路
18,去程,博愛路
18,去程,臺北郵局
18,去程,臺北車站(忠孝)
18,去程,臺大醫院
18,去程,捷運中正紀念堂站(中山)
18,去程,捷運中正紀念堂站(勞保局)
18,去程,自來水西分處(寧波)
18,去程,聯合醫院婦幼院區一
18,去程,南昌家具街
18,去程,捷運古亭站(和平)
18,去程,師大
18,去程,師大綜合大樓
18,去程,溫州街口
18,去程,大安森林公園
18,去程,龍門國中(和平)
18,去程,復興南路口
18,去程,國立臺北教育大學
18,去程,臥龍街
18,去程,和平安和路口
18,去程,捷運六張犁站(和平)
18,去程,富陽街口
18,去程,黎忠市場
18,去程,捷運麟光站
18,回程,黎忠市場
18,回程,富陽街口
18,回程,捷運六張犁站(和平)
18,回程,和平安和路口
18,回程,臥龍街
18,回程,國立臺北教育大學
18,回程,復興南路口
18,回程,國北教大實小
18,回程,龍門國中(和平)
18,回程,大安森林公園
18,回程,溫州街口
18,回程,師大綜合大樓
18,回程,師大
18,回程,捷運古亭站(和平)
18,回程,羅斯福潮州街口
18,回程,捷運中正紀念堂站(羅斯福)
18,回程,一女中(公園)
18,回程,捷運台大醫院站
18,回程,博物館(館前)
18,回程,臺北車站(開封)
18,回程,重慶南路一段
18,回程,二二八和平公園
18,回程,衡陽路
18,回程,西門市場(成都)
18,回程,西寧南路
18,回程,桂林昆明街口
18,回程,桂林路
18,回程,萬華分局
18,回程,龍山國小
18,回程,華江派出所
18,回程,力霸社區
18,回程,華江站
20,去程,永春高中
20,去程,松山商職(松山)
20,去程,國業里
20,去程,國稅局宿舍
20,去程,捷運象山站
20,去程,信義松仁路口(松仁)
20,去程,松壽路口
20,去程,市政府(松壽)
20,去程,世貿中心(基隆路)
20,去程,信義光復路口
20,去程,信義通化街口
20,去程,捷運信義安和站(信義)
20,去程,信義敦化路口
20,去程,信義大安路口
20,去程,捷運大安站(信義)
20,去程,師大附中
20,去程,信義建國路口
20,去程,捷運大安森林公園站
20,去程,信義新生路口
20,去程,信義永康街口
20,去程,捷運東門站
20,去程,信義杭州路口
20,去程,中正紀念堂
20,去程,捷運台大醫院站
20,去程,博物館(襄陽)
20,去程,衡陽路口
20,去程,衡陽路
20,去程,捷運西門站
20,去程,小南門
20,去程,聯合醫院和平院區
20,去程,大埔街
20,去程,廈安里
20,去程,南機場公寓
20,去程,中華南海路口
20,去程,國興路口
20,去程,古亭國中
20,去程,萬華醫院
20,去程,青年公園(交通教學區)
20,去程,青年公園(馬場町)
20,去程,青年社宅
20,去程,青年路
20,去程,中正新城
20,去程,青年社區
20,去程,青年公園(青年)
20,去程,青年公園(國興)
20,回程,國興路口一
20,回程,國興路口
20,回程,中華南海路口
20,回程,南機場公寓
20,回程,廈安里
20,回程,大埔街
20,回程,聯合醫院和平院區
20,回程,小南門
20,回程,捷運西門站
20,回程,寶慶路
20,回程,衡陽路口
20,回程,博物館(襄陽)
20,回程,捷運台大醫院站
20,回程,中正紀念堂
20,回程,信義杭州路口
20,回程,捷運東門站
20,回程,信義永康街口(捷運東門站)
20,回程,信義新生路口
20,回程,捷運大安森林公園站
20,回程,信義建國路口
20,回程,捷運大安站(信義)
20,回程,信義大安路口
20,回程,信義敦化路口
20,回程,捷運信義安和站(信義)
20,回程,信義通化街口
20,回程,信義光復路口
20,回程,世貿中心(基隆路)
20,回程,市政府(松壽)
20,回程,松壽路口
20,回程,信義松仁路口(松仁)
20,回程,捷運象山站
20,回程,國稅局宿舍
20,回程,松山商職(福德)
20,回程,永春高中
21,去程,捷運圓山站
21,去程,臺北市立美術館
21,去程,圓山大飯店
21,去程,中央電台
21,去程,忠烈祠
21,去程,經國七海文化園區
21,去程,堤頂大道口
21,去程,基湖站
21,去程,基湖路口
21,去程,仁寶大樓
21,去程,瑞光路393巷
21,去程,捷運港墘站(內湖高工)
21,去程,西湖圖書館(湖光教會)
21,去程,內湖國小
21,去程,達人高中(臺灣戲曲學院)
21,去程,內湖派出所
21,回程,成功路三段
21,回程,內湖高中
21,回程,捷運文德站(碧湖公園)
21,回程,湖光國宅
21,回程,西湖圖書館(湖光教會)
21,回程,港墘派出所
21,回程,瑞光港墘路口
21,回程,仁寶大樓
21,回程,基湖路口
21,回程,基湖站
21,回程,堤頂大道口
21,回程,明水路三
21,回程,大直抽水站
21,回程,北安國中
21,回程,忠烈祠
21,回程,中央電台
21,回程,圓山大飯店
21,回程,臺北市立美術館
21,回程,花博公園
21,回程,捷運圓山站
22,去程,吳興街站
22,去程,松仁路
22,去程,吳興國小(松仁)
22,去程,信義國中(莊敬)
22,去程,臺北醫學大學
22,去程,景新里
22,去程,世貿中心(莊敬)
22,去程,信義光復路口
22,去程,信義通化街口
22,去程,捷運信義安和站(信義)
22,去程,信義敦化路口
22,去程,信義大安路口
22,去程,捷運大安站(信義)
22,去程,師大附中
22,去程,信義建國路口
22,去程,捷運大安森林公園站
22,去程,信義新生路口
22,去程,信義永康街口
22,去程,捷運東門站
22,去程,信義杭州路口
22,去程,中正紀念堂
22,去程,臺大醫院
22,去程,臺北車站(忠孝)
22,去程,臺北車站(重慶)
22,去程,重慶南路一段
22,去程,二二八和平公園
22,回程,博愛路
22,回程,臺北郵局
22,回程,臺北車站(忠孝)
22,回程,捷運善導寺站
22,回程,開南中學
22,回程,仁愛林森路口
22,回程,信義杭州路口
22,回程,捷運東門站
22,回程,信義永康街口(捷運東門站)
22,回程,信義新生路口
22,回程,捷運大安森林公園站
22,回程,信義建國路口
22,回程,捷運大安站(信義)
22,回程,信義大安路口
22,回程,信義敦化路口
22,回程,捷運信義安和站(信義)
22,回程,信義通化街口
22,回程,信義光復路口
22,回程,世貿中心(莊敬)
22,回程,景新里
22,回程,臺北醫學大學
22,回程,信義國中(莊敬)
22,回程,吳興國小(莊敬)
22,回程,松仁路
22,回程,吳興街站
26,去程,社子國小二
26,去程,社子國小
26,去程,永倫里(南)
26,去程,社子派出所
26,去程,社子市場二
26,去程,社子市場
26,去程,福港街
26,去程,承德路四段
26,去程,大南路口
26,去程,圓山皇宮大廈
26,去程,劍潭國小
26,去程,明倫高中
26,去程,庫倫街口
26,去程,民族承德路口
26,去程,大同國小
26,去程,民權中山路口
26,去程,捷運中山國小站
26,去程,民權吉林路口
26,去程,捷運行天宮站(松江路)
26,去程,長春松江路口
26,回程,南京吉林路口
26,回程,南京林森路口
26,回程,捷運中山站(志仁高中)
26,回程,建成公園
26,回程,民生西路口
26,回程,成淵高中
26,回程,防癆協會
26,回程,大同國小
26,回程,民族承德路口
26,回程,庫倫街口
26,回程,明倫高中
26,回程,劍潭國小
26,回程,圓山皇宮大廈
26,回程,大南路口
26,回程,士商路
26,回程,陽明高中
26,回程,社子市場
26,回程,社園里
26,回程,社子派出所
26,回程,永倫里(南)
26,回程,社子國小
26,回程,永倫里(延平)
28,去程,明水路一
28,去程,明水路二
28,去程,明水路三
28,去程,大直抽水站
28,去程,永安里
28,去程,捷運大直站
28,去程,植福宮
28,去程,自強隧道(大直教會)
28,去程,自強隧道
28,去程,捷運劍南路站
28,去程,美麗華
28,去程,文湖國小
28,去程,治磐新村
28,去程,捷運西湖站
28,去程,恕德家商
28,去程,麗山街
28,去程,捷運港墘站(內湖高工)
28,去程,西湖圖書館(湖光教會)
28,去程,內湖國小
28,去程,達人高中(臺灣戲曲學院)
28,去程,內湖派出所
28,去程,成功路三段
28,去程,方濟中學
28,去程,將軍嶺
28,去程,三總內湖站
28,去程,國防醫學中心
28,去程,湖興
28,去程,上灣仔
28,去程,石潭公園(成功)
28,去程,南港分局(向陽)
28,去程,玉成國小
28,去程,西新里(新新公園)
28,去程,南港路三段
28,去程,松山磚廠
28,去程,玉成里
28,去程,松山車站(八德)
28,去程,松山農會
28,去程,饒河街觀光夜市(八德)
28,去程,基隆路口二
28,去程,松山高中(基隆路)
28,去程,市政府(松高)
28,去程,市政府(松智)
28,去程,101國際購物中心
28,去程,捷運台北101/世貿站(信義)
28,回程,捷運台北101/世貿站(市府)
28,回程,市政府(市府)
28,回程,松山高中(基隆路)
28,回程,基隆路口
28,回程,饒河街觀光夜市(八德)
28,回程,松山農會
28,回程,松山車站(八德)
28,回程,玉成里
28,回程,松山磚廠
28,回程,南港路三段
28,回程,西新里(新新公園)
28,回程,玉成國小
28,回程,南港分局(向陽)
28,回程,石潭公園(成功)
28,回程,上灣仔
28,回程,湖興
28,回程,國防醫學中心
28,回程,三總內湖站
28,回程,將軍嶺
28,回程,方濟中學
28,回程,成功路三段
28,回程,內湖派出所
28,回程,達人高中(臺灣戲曲學院)
28,回程,內湖國小
28,回程,西湖圖書館(湖光教會)
28,回程,捷運港墘站(內湖高工)
28,回程,麗山國中
28,回程,麗山街
28,回程,恕德家商
28,回程,捷運西湖站
28,回程,治磐新村
28,回程,文湖國小
28,回程,美麗華
28,回程,捷運劍南路站
28,回程,明水路一
28,回程,明水路二
28,回程,明水路三
28,回程,大直抽水站
28,回程,永安里
28,回程,捷運大直站
28,回程,植福宮
28,回程,自強隧道(大直教會)
32,去程,吳興街站
32,去程,松仁路
32,去程,吳興國小(松仁)
32,去程,信義國中(松仁)
32,去程,松平路口
32,去程,信義松仁路口(松仁)
32,去程,興雅國中
32,去程,消防局(松仁)
32,去程,市立工農
32,去程,捷運永春站(忠孝)
32,去程,捷運永春站(松山)
32,去程,雙永國小
32,去程,永吉松山路口
32,去程,松山車站(松山)
32,去程,松山車站
32,去程,五分埔商圈(中坡北)
32,去程,捷運後山埤站(永吉)
32,去程,捷運後山埤站(玉成)
32,去程,聯合醫院忠孝院區(同德)
32,去程,修德國小
32,去程,南港公園
32,去程,南港公園一
32,去程,南港花園社區四
32,去程,南港花園社區三
32,去程,南港花園社區二
32,去程,南港花園社區一
32,去程,南港花園社區五
32,回程,南港公園一
32,回程,南港公園
32,回程,修德國小
32,回程,聯合醫院忠孝院區(同德)
32,回程,捷運後山埤站(玉成)
32,回程,捷運後山埤站(永吉)
32,回程,五分埔商圈(中坡北)
32,回程,松山車站(松隆)
32,回程,松山車站(松山)
32,回程,永吉松山路口
32,回程,捷運永春站(松山)
32,回程,捷運永春站(忠孝)
32,回程,市立工農
32,回程,消防局(松仁)
32,回程,興雅國中
32,回程,信義松仁路口(松仁)
32,回程,松平路口
32,回程,信義國中(松仁)
32,回程,吳興國小(松仁)
32,回程,松仁路
32,回程,吳興街站
33,去程,永春高中
33,去程,松山商職(松山)
33,去程,永春公寓
33,去程,永春里(忠孝)
33,去程,春光公園
33,去程,忠孝大道路口
33,去程,大道路
33,去程,信義行政中心(奉天宮)
33,去程,松友新村
33,去程,松山商職(福德)
33,去程,國業里
33,去程,國稅局宿舍
33,去程,松平路口
33,去程,信義國中(松仁)
33,去程,吳興國小(莊敬)
33,去程,信義國中(莊敬)
33,去程,臺北醫學大學
33,去程,景新里
33,去程,世貿中心(莊敬)
33,去程,信義光復路口
33,去程,信義通化街口
33,去程,捷運信義安和站(信義)
33,去程,信義敦化路口
33,去程,仁愛國中
33,去程,安和敦化路口
33,去程,捷運忠孝敦化站
33,去程,市民大道口
33,去程,市立體育場
33,去程,臺北小巨蛋
33,去程,長庚醫院
33,去程,富錦街口
33,去程,民權敦化路口
33,去程,五常街口
33,去程,大直國小
33,去程,捷運大直站
33,去程,植福宮
33,去程,自強隧道(大直教會)
33,去程,自強隧道
33,去程,捷運劍南路站
