公車名稱,方向,車站名稱
0東,去程,瑞湖街口
0東,去程,麗寶大樓
0東,去程,公館山
0東,去程,瑞光路
0東,去程,內湖運動中心
0東,去程,港墘派出所
0東,去程,西湖圖書館(湖光教會)
0東,去程,湖光國宅
0東,去程,捷運文德站(碧湖公園)
0東,去程,內湖高中
0東,去程,方濟中學
0東,去程,將軍嶺
0東,去程,三總內湖站
0東,去程,國防醫學中心
0東,去程,內湖行政大樓
0東,去程,三民國中
0東,去程,時報廣場
0東,去程,民權大橋
0東,去程,新益里
0東,去程,民生國中
0東,去程,新東街口
0東,去程,三民路
0東,去程,三民健康路口(西松高中)
0東,去程,健康新城
0東,去程,長壽公園
0東,去程,三軍總醫院松山分院
0東,去程,南京新村
0東,去程,博仁醫院
0東,去程,光復路口
0東,去程,美仁里
0東,去程,臺視
0東,去程,市民敦化路口
0東,去程,忠孝敦化路口
0東,去程,仁愛敦化路口
0東,去程,信義敦化路口
0東,去程,信義大安路口
0東,去程,捷運大安站(信義)
0東,去程,師大附中
0東,去程,信義建國路口
0東,去程,捷運大安森林公園站
0東,去程,信義新生路口
0東,去程,信義永康街口
0東,去程,捷運東門站
0東,去程,信義杭州路口
0東,去程,中正紀念堂
0東,去程,捷運台大醫院站
0東,去程,博物館(館前)
0東,去程,臺北車站(忠孝)
0東,回程,臺北車站(公園)
0東,回程,捷運台大醫院站
0東,回程,中正紀念堂
0東,回程,信義杭州路口
0東,回程,捷運東門站
0東,回程,信義永康街口(捷運東門站)
0東,回程,信義新生路口
0東,回程,捷運大安森林公園站
0東,回程,信義建國路口
0東,回程,捷運大安站(信義)
0東,回程,信義大安路口
0東,回程,信義敦化路口
0東,回程,仁愛國中
0東,回程,安和敦化路口
0東,回程,捷運忠孝敦化站
0東,回程,市民大道口
0東,回程,臺視
0東,回程,美仁里
0東,回程,榮民服務處
0東,回程,南京新村
0東,回程,三軍總醫院松山分院
0東,回程,長壽公園
0東,回程,健康新城
0東,回程,三民健康路口(西松高中)
0東,回程,三民路
0東,回程,新東街口
0東,回程,民生國中
0東,回程,新益里
0東,回程,民權大橋
0東,回程,時報廣場
0東,回程,三民國中
0東,回程,內湖行政大樓
0東,回程,國防醫學中心
0東,回程,三總內湖站
0東,回程,將軍嶺
0東,回程,方濟中學
0東,回程,內湖高中
0東,回程,捷運文德站(碧湖公園)
0東,回程,湖光國宅
0東,回程,西湖圖書館(湖光教會)
0東,回程,港墘派出所
0東,回程,瑞光路
0東,回程,公館山
0東,回程,麗寶大樓
0東,回程,瑞湖街口
0南,去程,萬芳社區
0南,去程,萬芳活動中心
0南,去程,萬芳國小
0南,去程,萬芳6號公園
0南,去程,萬利街口
0南,去程,棕櫚泉社區
0南,去程,文山運動中心(萬芳)
0南,去程,臺灣警察專科學校
0南,去程,捷運萬芳醫院站
0南,去程,中國科技大學(興隆)
0南,去程,興隆國小
0南,去程,興德國小
0南,去程,興隆市場
0南,去程,靜心高中
0南,去程,憲光公寓
0南,去程,景明街口
0南,去程,武功國小(興隆)
0南,去程,師大分部
0南,去程,捷運公館站
0南,去程,臺大
0南,去程,臺大綜合體育館
0南,去程,溫州街口
0南,去程,師大綜合大樓
0南,去程,師大
0南,去程,金山潮州街口
0南,去程,公企中心
0南,去程,捷運東門站(金山)
0南,回程,信義永康街口(捷運東門站)
0南,回程,金華新生路口
0南,回程,和平新生路口
0南,回程,龍安國小(公務人力發展學院)
0南,回程,臺大綜合體育館
0南,回程,臺大
0南,回程,捷運公館站
0南,回程,師大分部
0南,回程,武功國小(興隆)
0南,回程,景明街口
0南,回程,憲光公寓
0南,回程,靜心高中
0南,回程,興隆市場
0南,回程,興德國小
0南,回程,興隆國小
0南,回程,捷運萬芳醫院站
0南,回程,臺灣警察專科學校
0南,回程,文山運動中心(萬芳)
0南,回程,棕櫚泉社區
0南,回程,萬利街口
0南,回程,捷運萬芳社區站
0南,回程,萬芳6號公園
0南,回程,萬芳國小
0南,回程,萬芳活動中心
0南,回程,萬芳社區
1,去程,華江站
1,去程,人壽一村
1,去程,大理高中
1,去程,華江派出所
1,去程,中國時報
1,去程,捷運龍山寺站
1,去程,昆明街口
1,去程,和平中華路口
1,去程,植物園
1,去程,建國中學
1,去程,自來水西分處(寧波)
1,去程,聯合醫院婦幼院區一
1,去程,南昌家具街
1,去程,羅斯福金門街口
1,去程,羅斯福浦城街口
1,去程,捷運台電大樓站
1,去程,台電大樓
1,去程,捷運公館站
1,去程,公館
1,去程,臺灣科技大學
1,去程,臺大癌醫(基隆路)
1,去程,基隆長興街口
1,去程,和平高中
1,去程,捷運六張犁站(基隆路)
1,去程,喬治商職
1,去程,三興國小(臨江街觀光夜市)
1,去程,吳興街口
1,去程,世貿中心(莊敬)
1,去程,景新里
1,去程,臺北醫學大學
1,去程,信義國中(莊敬)
1,去程,吳興國小(莊敬)
1,去程,松仁路
1,回程,松仁路
1,回程,吳興國小(松仁)
1,回程,信義國中(莊敬)
1,回程,臺北醫學大學
1,回程,景新里
1,回程,世貿中心(莊敬)
1,回程,吳興街口
1,回程,三興國小(臨江街觀光夜市)
1,回程,喬治商職
1,回程,捷運六張犁站(基隆路)
1,回程,和平高中
1,回程,基隆長興街口
1,回程,臺大癌醫(基隆路)
1,回程,臺灣科技大學
1,回程,公館
1,回程,捷運公館站
1,回程,台電大樓
