去程,回程
家樂福,捷運善導寺站
分子尾,成功中學(林森)
碧華寺,立法院
慈福派出所,臺北車站(忠孝)
美美新村,重安街口
徐匯中學,中正南路
幸福市場,大同路口
建和新村,正義重新路口
捷運三和國中站,長元西街口
格致中學(自強路),長壽西街口
永德里,三安里
厚德國小,龍門路口
忠孝路口,介壽廣場
介壽廣場,忠孝路口
龍門路口,厚德國小
三安里,永德里
長壽西街口,格致中學(自強路)
長元西街口,三和國中
正義重新路口,捷運三和國中站
天台廣場,建和新村
大同路口,幸福市場
中正南路,徐匯中學
重安街口,美美新村
臺北車站(忠孝),碧華寺
,慈化公園
,分子尾
