公車名稱,站點
0東 去程,"瑞湖街口, 麗寶大樓, 公館山, 瑞光路, 內湖運動中心, 港墘派出所, 西湖圖書館(湖光教會), 湖光國宅, 捷運文德站(碧湖公園), 內湖高中, 方濟中學, 將軍嶺, 三總內湖站, 國防醫學中心, 內湖行政大樓, 三民國中, 時報廣場, 民權大橋, 新益里, 民生國中, 新東街口, 三民路, 三民健康路口(西松高中), 健康新城, 長壽公園, 三軍總醫院松山分院, 南京新村, 博仁醫院, 光復路口, 美仁里, 臺視, 市民敦化路口, 忠孝敦化路口, 仁愛敦化路口, 信義敦化路口, 信義大安路口, 捷運大安站(信義), 師大附中, 信義建國路口, 捷運大安森林公園站, 信義新生路口, 信義永康街口, 捷運東門站, 信義杭州路口, 中正紀念堂, 捷運台大醫院站, 博物館(館前), 臺北車站(忠孝)"
0東 回程,"臺北車站(公園), 捷運台大醫院站, 中正紀念堂, 信義杭州路口, 捷運東門站, 信義永康街口(捷運東門站), 信義新生路口, 捷運大安森林公園站, 信義建國路口, 捷運大安站(信義), 信義大安路口, 信義敦化路口, 仁愛國中, 安和敦化路口, 捷運忠孝敦化站, 市民大道口, 臺視, 美仁里, 榮民服務處, 南京新村, 三軍總醫院松山分院, 長壽公園, 健康新城, 三民健康路口(西松高中), 三民路, 新東街口, 民生國中, 新益里, 民權大橋, 時報廣場, 三民國中, 內湖行政大樓, 國防醫學中心, 三總內湖站, 將軍嶺, 方濟中學, 內湖高中, 捷運文德站(碧湖公園), 湖光國宅, 西湖圖書館(湖光教會), 港墘派出所, 瑞光路, 公館山, 麗寶大樓, 瑞湖街口"
39 去程,"家樂福, 分子尾, 碧華寺, 慈福派出所, 美美新村, 徐匯中學, 幸福市場, 建和新村, 捷運三和國中站, 格致中學(自強路), 永德里, 厚德國小, 忠孝路口, 介壽廣場, 龍門路口, 三安里, 長壽西街口, 長元西街口, 正義重新路口, 天台廣場, 大同路口, 中正南路, 重安街口, 臺北車站(忠孝)"
39 回程,"捷運善導寺站, 成功中學(林森), 立法院, 臺北車站(忠孝), 重安街口, 中正南路, 大同路口, 正義重新路口, 長元西街口, 長壽西街口, 三安里, 龍門路口, 介壽廣場, 忠孝路口, 厚德國小, 永德里, 格致中學(自強路), 三和國中, 捷運三和國中站, 建和新村, 幸福市場, 徐匯中學, 美美新村, 碧華寺, 慈化公園, 分子尾"
99 去程,"民安站, 民安國小, 民安陸橋, 民安路, 後港社區, 建福路口, 宏泰社區, 三洋, 營盤口, 捷運輔大站, 盲人重建院, 海山里, 新泰中正路口, 材試所, 新泰國中南站, 新莊棒球場(立功里立德里), 新莊體育場(立功里), 新莊田徑場(中和里), 財元廣場, 中華路, 正邦社區, 幸福中華路口, 幸福新城, 幸福思源路口, 仁義里, 思源復興路口, 臺北醫院, 捷運頭前庄站(思源路), 捷運新埔站, 致理科技大學, 中山國中, 新民里, 新北板橋公車站, 捷運府中站, 南門街, 板橋夜市(南雅南路), 光華商職, 捷運亞東醫院站, 亞東科技大學(南雅南路), 南雅站"
99 回程,"亞東科技大學(南雅南路), 捷運亞東醫院站, 光華商職, 板橋夜市(南雅南路), 捷運府中站(府中路), 萬坪公園, 新北板橋公車站, 板橋車站(文化路), 中山國中, 致理科技大學, 板橋花市, 捷運新埔站, 捷運頭前庄站(思源路), 臺北醫院, 思源復興路口, 幸福思源路口, 幸福新城, 幸福中華路口, 正邦社區, 中華路, 財元廣場, 新莊田徑場(中和里), 新莊體育場(立功里), 新莊棒球場(立功里立德里), 新泰國中南站, 材試所, 新泰路口, 海山里, 盲人重建院, 捷運輔大站, 營盤口, 三洋(建福路), 宏泰社區, 建福路口, 後港社區, 民安路, 民安陸橋, 民安國小, 民安站"
